epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9283,2.05295,4.42279,1.71034,0.02941,0.44828,0.39628,0.1746,2.03989,4.62108,1.54646,5.555e-05,5.555e-05,5.555e-05
2,89.0593,2.08386,3.74793,1.73173,0.13861,0.48276,0.49654,0.23601,1.99032,4.54474,1.51696,0.00011979,0.00011979,0.00011979
3,128.966,1.99935,2.96203,1.67503,0.15686,0.55172,0.49986,0.25139,1.97422,4.43745,1.44789,0.000181391,0.000181391,0.000181391
4,169.571,2.19702,2.97361,1.76546,0.06579,0.51724,0.47914,0.22057,1.89506,4.41568,1.38577,0.000240352,0.000240352,0.000240352
5,212.192,1.87576,2.83565,1.61574,0.05861,0.55172,0.50793,0.20094,1.91804,4.44958,1.41186,0.000296673,0.000296673,0.000296673
6,254.365,1.78269,2.41787,1.55522,0.06364,0.48276,0.43763,0.17257,2.01219,4.42689,1.46743,0.000350354,0.000350354,0.000350354
7,295.986,1.78525,2.31162,1.51239,0.06838,0.55172,0.42008,0.20603,1.95184,4.45564,1.45413,0.000401395,0.000401395,0.000401395
8,337.839,1.82216,2.30439,1.52078,0.07558,0.44828,0.36625,0.20712,1.99874,4.41383,1.57763,0.000449797,0.000449797,0.000449797
9,381.226,1.81372,2.37802,1.53256,0.07182,0.44828,0.34657,0.19134,1.98656,4.3821,1.71958,0.000495559,0.000495559,0.000495559
10,423.676,1.68156,2.30978,1.44122,1,0.12989,0.40036,0.19812,1.98244,4.18964,1.71236,0.000538682,0.000538682,0.000538682
11,466.524,1.69142,2.24275,1.43875,0.9157,0.13793,0.4007,0.21978,2.04368,3.96991,1.72111,0.000579164,0.000579164,0.000579164
12,508.507,1.60358,2.03035,1.39254,0.82163,0.16031,0.45496,0.19849,2.26624,3.87034,1.99941,0.000617007,0.000617007,0.000617007
13,550.588,1.60373,2.05306,1.39978,0.87946,0.13793,0.3727,0.17695,2.31028,3.84901,1.95343,0.00065221,0.00065221,0.00065221
14,591.063,1.69698,2.03027,1.45646,0.72968,0.18728,0.35681,0.18059,2.20181,3.72671,1.90503,0.000684774,0.000684774,0.000684774
15,631.2,1.62985,1.96959,1.40359,0.80643,0.2069,0.36048,0.18165,2.22385,3.76077,1.92398,0.000714697,0.000714697,0.000714697
16,671.076,1.59598,1.96789,1.41488,0.57048,0.17241,0.3054,0.16275,2.21698,3.71528,1.961,0.000741981,0.000741981,0.000741981
17,711.078,1.5809,1.73798,1.34699,0.90904,0.24138,0.37313,0.16986,2.32262,3.52207,2.02475,0.000759035,0.000759035,0.000759035
18,751.014,1.55018,1.84409,1.45944,0.50557,0.21189,0.29975,0.12024,2.47729,3.7434,2.13271,0.000737037,0.000737037,0.000737037
19,790.85,1.59235,1.73577,1.41201,0.71608,0.34807,0.36862,0.13251,2.4285,3.60764,2.03409,0.00071504,0.00071504,0.00071504
20,831.276,1.53997,1.7609,1.35396,0.8005,0.44828,0.47255,0.20255,2.26107,3.03667,1.86717,0.000693042,0.000693042,0.000693042
21,871.115,1.55466,1.61683,1.36368,0.88304,0.41379,0.49422,0.21813,2.17041,2.81337,1.83078,0.000671044,0.000671044,0.000671044
22,911.788,1.4663,1.54777,1.31512,0.91077,0.41379,0.48724,0.21739,2.17504,2.71689,1.90904,0.000649046,0.000649046,0.000649046
23,947.293,1.49595,1.56207,1.33242,0.76417,0.37931,0.42412,0.18515,2.18029,2.71689,1.96238,0.000627048,0.000627048,0.000627048
24,983.594,1.49967,1.61571,1.3307,0.70985,0.31034,0.38956,0.14305,2.3586,2.86632,2.19723,0.000605051,0.000605051,0.000605051
25,1022.01,1.5376,1.62522,1.32593,0.74593,0.34483,0.43447,0.16374,2.3281,2.71602,2.1712,0.000583053,0.000583053,0.000583053
26,1058.37,1.4477,1.60996,1.33511,0.7613,0.48276,0.53771,0.21801,2.23949,2.55985,1.97445,0.000561055,0.000561055,0.000561055
27,1116.12,1.52075,1.59857,1.3655,0.93209,0.47372,0.56505,0.22162,2.27751,2.46165,1.98461,0.000539057,0.000539057,0.000539057
28,1163.82,1.26717,1.41548,1.24953,0.84563,0.48276,0.54017,0.22566,2.33,2.3726,2.08631,0.000517059,0.000517059,0.000517059
29,1212.82,1.38136,1.41981,1.26717,0.65749,0.55172,0.53917,0.20399,2.39542,2.34802,2.15602,0.000495062,0.000495062,0.000495062
30,1269.93,1.42229,1.44246,1.28296,0.77415,0.44828,0.48408,0.21551,2.30359,2.33423,2.03336,0.000473064,0.000473064,0.000473064
31,1333.09,1.33718,1.40545,1.2574,0.77726,0.41379,0.47047,0.22643,2.32212,2.34783,2.03101,0.000451066,0.000451066,0.000451066
32,1379.7,1.35866,1.44023,1.27034,0.68988,0.41379,0.48442,0.21786,2.43979,2.35556,2.19217,0.000429068,0.000429068,0.000429068
33,1434.12,1.38936,1.35723,1.24805,0.70854,0.44828,0.5015,0.22413,2.49275,2.33933,2.23596,0.00040707,0.00040707,0.00040707
34,1497.36,1.21861,1.30482,1.18699,0.74592,0.50655,0.51663,0.21758,2.37817,2.57163,2.21359,0.000385073,0.000385073,0.000385073
35,1557.29,1.32732,1.41195,1.25856,0.73471,0.47774,0.50134,0.21902,2.34814,2.63143,2.19475,0.000363075,0.000363075,0.000363075
36,1622.21,1.28817,1.34535,1.19608,0.94848,0.44828,0.5057,0.20621,2.31016,2.65236,2.17785,0.000341077,0.000341077,0.000341077
37,1679.9,1.24577,1.37262,1.20249,0.90652,0.41379,0.44594,0.19634,2.28765,2.57173,2.15774,0.000319079,0.000319079,0.000319079
38,1722.53,1.2107,1.22199,1.17556,0.73188,0.44828,0.45234,0.18287,2.42157,2.31431,2.2704,0.000297081,0.000297081,0.000297081
39,1783.02,1.27758,1.23431,1.1802,0.70398,0.51724,0.53007,0.19093,2.37813,2.253,2.24053,0.000275084,0.000275084,0.000275084
40,1842.99,1.23921,1.14859,1.13963,0.8122,0.44745,0.46687,0.21139,2.32193,2.20362,2.17689,0.000253086,0.000253086,0.000253086
41,1887.05,1.17849,1.38619,1.19631,0.86495,0.48276,0.53692,0.22388,2.27984,2.21044,2.11145,0.000231088,0.000231088,0.000231088
42,1935.1,1.1224,1.31708,1.14696,0.8161,0.51724,0.51682,0.22489,2.19592,2.17954,1.94725,0.00020909,0.00020909,0.00020909
43,1992.29,1.07916,1.31064,1.13758,0.83945,0.48276,0.50883,0.23407,2.19468,2.15878,1.93501,0.000187092,0.000187092,0.000187092
44,2024.5,1.09284,1.32209,1.13109,0.7774,0.51724,0.50912,0.22958,2.16248,2.13437,1.91522,0.000165095,0.000165095,0.000165095
45,2079.83,1.07344,1.34487,1.13681,0.73953,0.51724,0.51011,0.24225,2.18157,2.0994,1.92276,0.000143097,0.000143097,0.000143097
46,2110.99,1.05751,1.29308,1.09794,0.85832,0.44828,0.53042,0.24191,2.17131,2.05915,1.92187,0.000121099,0.000121099,0.000121099
47,2164.4,1.02931,1.27846,1.10383,0.85845,0.44828,0.542,0.25875,2.15402,2.06597,1.91195,9.91012e-05,9.91012e-05,9.91012e-05
48,2194.31,1.01663,1.17224,1.08515,0.85354,0.44828,0.54687,0.26546,2.16193,2.05698,1.91202,7.71034e-05,7.71034e-05,7.71034e-05
49,2246.95,1.04651,1.23672,1.13028,0.85328,0.44828,0.54923,0.26657,2.15006,2.03917,1.90299,5.51056e-05,5.51056e-05,5.51056e-05
50,2276.65,0.99551,1.18988,1.12849,0.85407,0.44828,0.55136,0.26592,2.16656,2.04574,1.89733,3.31078e-05,3.31078e-05,3.31078e-05
